iter	Passed	Remaining
0	4	962
1	9	982
2	14	966
3	19	939
4	23	931
5	28	926
6	33	926
7	38	921
8	43	921
9	47	902
10	52	901
11	57	903
12	62	903
13	67	894
14	71	878
15	75	869
16	79	859
17	83	847
18	88	839
19	92	830
20	96	821
21	100	811
22	104	803
23	108	798
24	113	796
25	118	792
26	122	784
27	127	780
28	130	772
29	135	765
30	139	760
31	143	755
32	147	747
33	151	740
34	155	734
35	159	726
36	163	720
37	167	714
38	171	707
39	175	700
40	179	695
41	182	687
42	186	680
43	189	672
44	192	664
45	196	656
46	199	648
47	202	641
48	206	635
49	209	629
50	213	623
51	216	616
52	219	609
53	223	603
54	226	596
55	229	590
56	232	584
57	236	578
58	239	572
59	242	566
60	246	561
61	249	555
62	252	550
63	256	544
64	259	539
65	262	533
66	266	528
67	269	522
68	272	517
69	275	511
70	278	506
71	282	501
72	285	496
73	288	491
74	291	486
75	295	481
76	298	477
77	301	472
78	305	467
79	308	462
80	316	465
81	320	460
82	324	456
83	327	452
84	331	448
85	334	443
86	338	439
87	341	434
88	344	429
89	347	425
90	351	420
91	354	416
92	358	412
93	361	407
94	365	403
95	369	399
96	372	395
97	375	390
98	378	386
99	382	382
100	385	377
101	388	373
102	391	369
103	395	364
104	398	360
105	402	356
106	406	353
107	410	349
108	420	350
109	423	346
110	427	342
111	430	338
112	434	334
113	437	329
114	440	325
115	444	321
116	447	317
117	450	313
118	453	308
119	457	304
120	460	300
121	463	296
122	466	292
123	470	288
124	473	283
125	476	279
126	480	275
127	483	271
128	486	267
129	489	263
130	492	259
131	496	255
132	499	251
133	503	248
134	507	244
135	511	240
136	515	236
137	518	232
138	522	229
139	525	225
140	528	221
141	531	217
142	535	213
143	538	209
144	541	205
145	544	201
146	548	197
147	551	193
148	554	189
149	557	185
150	561	182
151	564	178
152	567	174
153	570	170
154	574	166
155	577	162
156	580	159
157	584	155
158	587	151
159	590	147
160	594	143
161	597	140
162	600	136
163	604	132
164	608	129
165	611	125
166	614	121
167	618	117
168	621	114
169	624	110
170	627	106
171	631	102
172	634	99
173	637	95
174	641	91
175	644	87
176	647	84
177	651	80
178	654	76
179	657	73
180	660	69
181	664	65
182	667	61
183	670	58
184	674	54
185	677	50
186	680	47
187	683	43
188	687	39
189	690	36
190	694	32
191	697	29
192	700	25
193	703	21
194	707	18
195	710	14
196	713	10
197	716	7
198	720	3
199	723	0
